Temperature = 0 °C, Humidity = 0 %, Pressure = 1005 hPa
Temperature = 0 °C, Humidity = 88 %, Pressure = 1005 hPa
Temperature = 0 °C, Humidity = 88 %, Pressure = 1005 hPa
Temperature = 0 °C, Humidity = 67 %, Pressure = 929 hPa
Temperature = 0 °C, Humidity = 67 %, Pressure = 929 hPa
Temperature = 0 °C, Humidity = 47 %, Pressure = 929 hPa
Temperature = 0 °C, Humidity = 47 %, Pressure = 911 hPa
Temperature = 0 °C, Humidity = 35 %, Pressure = 911 hPa
Temperature = 0 °C, Humidity = 35 %, Pressure = 911 hPa
Temperature = 0 °C, Humidity = 59 %, Pressure = 916 hPa
Temperature = 0 °C, Humidity = 59 %, Pressure = 916 hPa
Temperature = 0 °C, Humidity = 77 %, Pressure = 916 hPa
Temperature = 0 °C, Humidity = 77 %, Pressure = 1047 hPa
Temperature = 0 °C, Humidity = 47 %, Pressure = 1047 hPa
Temperature = 0 °C, Humidity = 47 %, Pressure = 1047 hPa
Temperature = 0 °C, Humidity = 42 %, Pressure = 1032 hPa
Temperature = 0 °C, Humidity = 42 %, Pressure = 1032 hPa
Temperature = 0 °C, Humidity = 66 %, Pressure = 1032 hPa
Temperature = 23 °C, Humidity = 66 %, Pressure = 945 hPa
Temperature = 26 °C, Humidity = 59 %, Pressure = 945 hPa
Temperature = 17 °C, Humidity = 59 %, Pressure = 945 hPa
Temperature = 21 °C, Humidity = 48 %, Pressure = 941 hPa
Temperature = 38 °C, Humidity = 48 %, Pressure = 941 hPa
Temperature = 23 °C, Humidity = 82 %, Pressure = 941 hPa
Temperature = 39 °C, Humidity = 82 %, Pressure = 935 hPa
Temperature = 33 °C, Humidity = 42 %, Pressure = 935 hPa
Temperature = 37 °C, Humidity = 42 %, Pressure = 935 hPa
Temperature = 39 °C, Humidity = 71 %, Pressure = 1020 hPa
Temperature = 35 °C, Humidity = 71 %, Pressure = 1020 hPa
Temperature = 30 °C, Humidity = 45 %, Pressure = 1020 hPa
Temperature = 21 °C, Humidity = 45 %, Pressure = 1009 hPa
Temperature = 18 °C, Humidity = 65 %, Pressure = 1009 hPa
Temperature = 30 °C, Humidity = 65 %, Pressure = 1009 hPa
Temperature = 24 °C, Humidity = 98 %, Pressure = 1078 hPa
Temperature = 15 °C, Humidity = 98 %, Pressure = 1078 hPa
Temperature = 25 °C, Humidity = 27 %, Pressure = 1078 hPa
Temperature = 18 °C, Humidity = 27 %, Pressure = 979 hPa
Temperature = 29 °C, Humidity = 27 %, Pressure = 979 hPa
Temperature = 25 °C, Humidity = 27 %, Pressure = 979 hPa
Temperature = 19 °C, Humidity = 69 %, Pressure = 958 hPa
Temperature = 20 °C, Humidity = 69 %, Pressure = 958 hPa
Temperature = 15 °C, Humidity = 98 %, Pressure = 958 hPa
Temperature = 27 °C, Humidity = 98 %, Pressure = 986 hPa
Temperature = 17 °C, Humidity = 73 %, Pressure = 986 hPa
Temperature = 25 °C, Humidity = 73 %, Pressure = 986 hPa
